thesis_output,condition,metric,reported_value,recomputed_value,match,notes
Reward-guided MatterGen,baseline_0014,mean_prediction,13.13022895196545,13.13022895196545,True,
Reward-guided MatterGen,baseline_0014,mean_reward,0.15696356245368956,0.15696356640462425,True,
Reward-guided MatterGen,baseline_0014,within_pm2,1.0,1.0,True,
Reward-guided MatterGen,baseline_0021,mean_prediction,12.276449386969178,12.276449386969178,True,
Reward-guided MatterGen,baseline_0021,mean_reward,0.31284635665379923,0.3128463578054501,True,
Reward-guided MatterGen,baseline_0021,within_pm2,4.0,4.0,True,
Reward-guided MatterGen,baseline_0019,mean_prediction,13.624767172101881,13.624767172101881,True,
Reward-guided MatterGen,baseline_0019,mean_reward,0.15675374108286422,0.15675373873373769,True,
Reward-guided MatterGen,baseline_0019,within_pm2,2.0,2.0,True,
Reward-guided MatterGen,baseline_0013,mean_prediction,14.113540225199094,14.113540225199094,True,
Reward-guided MatterGen,baseline_0013,mean_reward,0.38473761977188836,0.38473762333199996,True,
Reward-guided MatterGen,baseline_0013,within_pm2,3.0,3.0,True,
Reward-guided MatterGen,baseline_0000,mean_prediction,9.856862057865719,9.856862057865719,True,
Reward-guided MatterGen,baseline_0000,mean_reward,0.18355239618362862,0.1835523944585531,True,
Reward-guided MatterGen,baseline_0000,within_pm2,2.0,2.0,True,
Reward-guided MatterGen,branch_a_0001,mean_prediction,11.011725539778956,11.011725539778956,True,
Reward-guided MatterGen,branch_a_0001,mean_reward,0.39436491474036783,0.3943649135967539,True,
Reward-guided MatterGen,branch_a_0001,within_pm2,8.0,8.0,True,
Reward-guided MatterGen,branch_a_0006,mean_prediction,10.678839666594817,10.678839666594817,True,
Reward-guided MatterGen,branch_a_0006,mean_reward,0.31127114160938596,0.31127113981220556,True,
Reward-guided MatterGen,branch_a_0006,within_pm2,5.0,5.0,True,
Reward-guided MatterGen,branch_a_0002,mean_prediction,13.145399750712684,13.145399750712684,True,
Reward-guided MatterGen,branch_a_0002,mean_reward,0.5070896528079161,0.5070896515704623,True,
Reward-guided MatterGen,branch_a_0002,within_pm2,9.0,9.0,True,
Reward-guided MatterGen,branch_a_0008,mean_prediction,15.343285367435621,15.343285367435621,True,
Reward-guided MatterGen,branch_a_0008,mean_reward,0.43873854317310274,0.438738540887366,True,
Reward-guided MatterGen,branch_a_0008,within_pm2,7.0,7.0,True,
Reward-guided MatterGen,branch_a_0005,mean_prediction,13.221958853044839,13.221958853044839,True,
Reward-guided MatterGen,branch_a_0005,mean_reward,0.41932875908061273,0.41932875865478575,True,
Reward-guided MatterGen,branch_a_0005,within_pm2,6.0,6.0,True,
Reward-guided MatterGen,branch_a_0007,mean_prediction,10.701137059331366,10.701137059331366,True,
Reward-guided MatterGen,branch_a_0007,mean_reward,0.7267223280341948,0.726722317682889,True,
Reward-guided MatterGen,branch_a_0007,within_pm2,7.0,7.0,True,
Reward-guided MatterGen,branch_a_0000,mean_prediction,13.046306355647939,13.046306355647939,True,
Reward-guided MatterGen,branch_a_0000,mean_reward,0.3644731452209701,0.3644731483356946,True,
Reward-guided MatterGen,branch_a_0000,within_pm2,4.0,4.0,True,
Reward-guided MatterGen,branch_a_0004,mean_prediction,14.512277578325081,14.512277578325081,True,
Reward-guided MatterGen,branch_a_0004,mean_reward,0.37556408232470806,0.3755640780171428,True,
Reward-guided MatterGen,branch_a_0004,within_pm2,5.0,5.0,True,
Reward-guided MatterGen,branch_a_0009,mean_prediction,12.32705767605832,12.32705767605832,True,
Reward-guided MatterGen,branch_a_0009,mean_reward,0.42391577281362447,0.42391578334510527,True,
Reward-guided MatterGen,branch_a_0009,within_pm2,7.0,7.0,True,
Reward-guided MatterGen,branch_a_0003,mean_prediction,11.6360425036368,11.6360425036368,True,
Reward-guided MatterGen,branch_a_0003,mean_reward,0.35668256632480516,0.35668256908647367,True,
Reward-guided MatterGen,branch_a_0003,within_pm2,6.0,6.0,True,
Reward-guided MatterGen,branch_a_0010,mean_prediction,13.645163804489497,13.645163804489497,True,
Reward-guided MatterGen,branch_a_0010,mean_reward,0.3066222141268513,0.306622215805975,True,
Reward-guided MatterGen,branch_a_0010,within_pm2,3.0,3.0,True,
Reward-guided MatterGen,branch_b_0011,mean_prediction,14.938630084027873,14.938630084027873,True,
