guidance_factor,condition,subset,family_type,rank,family_label,count,fraction,representative_formula,representative_space_group,mean_predicted_dielectric_scalar,mean_energy_above_hull_per_atom,stable_fraction_within_family,sun_fraction_within_family
0,4,all_relaxed,reduced_formula,1,S,2,0.015625,S,C2/m,3.9064312495352587,0.1794898199702501,0.0,0.0
0,4,all_relaxed,reduced_formula,2,MnAgCl4,1,0.0078125,MnAgCl4,P2/m,3.0174957999469942,0.0189209598969171,1.0,1.0
0,4,all_relaxed,reduced_formula,3,Na3HfSe4,1,0.0078125,Na3HfSe4,C2/m,6.606938193601903,0.0581844242782425,1.0,1.0
0,4,all_relaxed,reduced_formula,4,Lu3Zn3Se8,1,0.0078125,Lu3Zn3Se8,C2,7.688486446396369,0.1202953807447926,0.0,0.0
0,4,all_relaxed,reduced_formula,5,Ca9TlO10,1,0.0078125,Ca9TlO10,P4/m,4.3414175796285255,0.0568672600200246,1.0,1.0
0,4,all_relaxed,reduced_formula,6,Zr3C,1,0.0078125,Zr3C,R3m,16.685182013565946,-0.0024852547553919,1.0,1.0
0,4,all_relaxed,reduced_formula,7,Rb2InI4,1,0.0078125,Rb2InI4,I4/mmm,4.109069173831142,0.1045816393617795,0.0,0.0
0,4,all_relaxed,reduced_formula,8,Mn5OF9,1,0.0078125,Mn5OF9,P1,4.3449344713148585,0.1906131001122286,0.0,0.0
0,4,all_relaxed,reduced_formula,9,Ga2Ag2Cl3,1,0.0078125,Ga2Ag2Cl3,R3m,5.049844130653312,0.4082432542930556,0.0,0.0
0,4,all_relaxed,reduced_formula,10,Ca2H3I,1,0.0078125,Ca2H3I,R3m,4.254673347928869,0.0842775333992023,1.0,1.0
0,4,all_relaxed,anonymized_formula,1,ABC2,20,0.15625,CdSiN2,P4/mmm,7.17206036823371,0.12371329923992011,0.55,0.05
0,4,all_relaxed,anonymized_formula,2,AB3,6,0.046875,AsI3,C2/m,5.662335653934033,0.04171267007349975,0.6666666666666666,0.5
0,4,all_relaxed,anonymized_formula,3,AB,6,0.046875,AlO,C2/m,4.929682119235611,0.13828665347188782,0.3333333333333333,0.16666666666666666
0,4,all_relaxed,anonymized_formula,4,AB2,6,0.046875,Ag2Se,I4/mmm,6.608902570943506,0.0851090183204074,0.6666666666666666,0.16666666666666666
0,4,all_relaxed,anonymized_formula,5,ABC4,5,0.0390625,BaBeH4,C2,4.270949999052532,0.06869153939124908,0.8,0.8
0,4,all_relaxed,anonymized_formula,6,AB2C2,5,0.0390625,Al2HgAs2,I4/mmm,8.161375896507533,0.16586964896475773,0.2,0.0
0,4,all_relaxed,anonymized_formula,7,A,5,0.0390625,S,Cmcm,6.11139910065832,0.09029837350480419,0.6,0.2
0,4,all_relaxed,anonymized_formula,8,ABCD,4,0.03125,BaHClO,Amm2,4.920395425017954,0.32470179141153266,0.25,0.25
0,4,all_relaxed,anonymized_formula,9,AB3C4,3,0.0234375,Cd3InS4,C2/m,10.144431422925129,0.06914553872230633,1.0,0.6666666666666666
0,4,all_relaxed,anonymized_formula,10,AB2C4,3,0.0234375,Mg2SiO4,C2/m,9.048446547157694,0.12421440682178377,0.3333333333333333,0.3333333333333333
0,4,all_relaxed,structure_family,1,SF000,1,0.0078125,MnAgCl4,P2/m,3.0174957999469942,0.0189209598969171,1.0,1.0
0,4,all_relaxed,structure_family,2,SF001,1,0.0078125,Na3HfSe4,C2/m,6.606938193601903,0.0581844242782425,1.0,1.0
0,4,all_relaxed,structure_family,3,SF002,1,0.0078125,Lu3Zn3Se8,C2,7.688486446396369,0.1202953807447926,0.0,0.0
0,4,all_relaxed,structure_family,4,SF003,1,0.0078125,Ca9TlO10,P4/m,4.3414175796285255,0.0568672600200246,1.0,1.0
0,4,all_relaxed,structure_family,5,SF004,1,0.0078125,Zr3C,R3m,16.685182013565946,-0.0024852547553919,1.0,1.0
0,4,all_relaxed,structure_family,6,SF005,1,0.0078125,Rb2InI4,I4/mmm,4.109069173831142,0.1045816393617795,0.0,0.0
0,4,all_relaxed,structure_family,7,SF006,1,0.0078125,Mn5OF9,P1,4.3449344713148585,0.1906131001122286,0.0,0.0
0,4,all_relaxed,structure_family,8,SF007,1,0.0078125,Ga2Ag2Cl3,R3m,5.049844130653312,0.4082432542930556,0.0,0.0
0,4,all_relaxed,structure_family,9,SF008,1,0.0078125,Ca2H3I,R3m,4.254673347928869,0.0842775333992023,1.0,1.0
0,4,all_relaxed,structure_family,10,SF009,1,0.0078125,Na2ZnO2,I4/mmm,3.0369073889211102,0.0734063038978511,1.0,0.0
0,4,all_relaxed,space_group,1,P1,26,0.203125,AgB(SeO4)2,P1,4.084114111145795,0.17296331107439938,0.19230769230769232,0.19230769230769232
0,4,all_relaxed,space_group,2,C2/m,12,0.09375,Ca3CeZr2N6,C2/m,7.575177468282604,0.11615678494749433,0.4166666666666667,0.3333333333333333
0,4,all_relaxed,space_group,3,Cm,7,0.0546875,Ba2NaLi2Ir2O9,Cm,4.914299257425934,0.3329998028020646,0.0,0.0
0,4,all_relaxed,space_group,4,R3m,6,0.046875,Ca2H3I,R3m,7.041874025553706,0.10892117551564202,0.6666666666666666,0.5
0,4,all_relaxed,space_group,5,I4/mmm,6,0.046875,Al2HgAs2,I4/mmm,6.8911072540279825,0.13301441880052478,0.3333333333333333,0.0
0,4,all_relaxed,space_group,6,P4/mmm,6,0.046875,K2NaLi,P4/mmm,7.732536630572203,0.11765964147086228,0.5,0.0
0,4,all_relaxed,space_group,7,P-3m1,5,0.0390625,AlO,P-3m1,5.462701772243156,0.20045640358646782,0.2,0.0
0,4,all_relaxed,space_group,8,P2/m,3,0.0234375,CuAgS2,P2/m,6.174418388285974,0.05904223967921137,1.0,0.6666666666666666
0,4,all_relaxed,space_group,9,P-1,3,0.0234375,Hf3Te8,P-1,7.748739998677148,0.17207842546047147,0.3333333333333333,0.3333333333333333
0,4,all_relaxed,space_group,10,C2/c,3,0.0234375,Na2ScO3,C2/c,3.387568479080541,0.10390209687662223,0.6666666666666666,0.0
0,4,sun_positive,chemical_system,1,Ag-Cl-Mn,1,0.041666666666666664,MnAgCl4,P2/m,3.0174957999469942,0.0189209598969171,1.0,1.0
0,4,sun_positive,chemical_system,2,Hf-Na-Se,1,0.041666666666666664,Na3HfSe4,C2/m,6.606938193601903,0.0581844242782425,1.0,1.0
0,4,sun_positive,chemical_system,3,Ca-O-Tl,1,0.041666666666666664,Ca9TlO10,P4/m,4.3414175796285255,0.0568672600200246,1.0,1.0
0,4,sun_positive,chemical_system,4,C-Zr,1,0.041666666666666664,Zr3C,R3m,16.685182013565946,-0.0024852547553919,1.0,1.0
0,4,sun_positive,chemical_system,5,Ca-H-I,1,0.041666666666666664,Ca2H3I,R3m,4.254673347928869,0.0842775333992023,1.0,1.0
0,4,sun_positive,chemical_system,6,Ca-K-N-O,1,0.041666666666666664,KCa(NO3)3,P1,2.3447156103246485,0.0754588661218553,1.0,1.0
